name,display_name,color,price,w,h,d,B,ED,UPC,lab_material,material,Product head-on view pic,Product three quarter view pic,description
CR6002,85,Brown,129,52,17,135,37.5,55.7,796764585074,Plastic,Acetate,CR6002_02_product_0,CR6002_02_product_three_quarter_view,"With a retro-inspired shape in the sickest colors, you'll look on point with this geometric pair."
CR6002,85,Yellow,129,52,17,135,37.5,55.7,796764585081,Plastic,Acetate,CR6002_04_product_0,CR6002_04_product_three_quarter_view,"With a retro-inspired shape in the sickest colors, you'll look on point with this geometric pair."
CR6003,20,Crystal,129,54,20,140,38.5,56,796764585111,Plastic,Acetate,CR6003_00_product_0,CR6003_00_product_three_quarter_view,A classic wayfarer silhouette. Everything old is new again.
CR6003,20,Black,129,54,20,140,38.5,56,796764585104,Plastic,Acetate,CR6003_01_product_0,CR6003_01_product_three_quarter_view,A classic wayfarer silhouette. Everything old is new again.
CR6003,20,Dark Tortoise,129,54,20,140,38.5,56,796764585128,Plastic,Acetate,CR6003_02_product_0,CR6003_02_product_three_quarter_view,A classic wayfarer silhouette. Everything old is new again.
CR6004,68,Black,129,54,18,140,34.7,54.6,796764585685,Metal,Combination,CR6004_01_product_0,CR6004_01_product_three_quarter_view,Nerd-chic at its finest. Try this one on� We think you'll be surprised at its versatility.
CR6004,68,Brown Wood,129,54,18,140,34.7,54.6,796764585692,Metal,Combination,CR6004_02_product_0,CR6004_02_product_three_quarter_view,Nerd-chic at its finest. Try this one on� We think you'll be surprised at its versatility.
CR6004,68,Black Wood,129,54,18,140,34.7,54.6,796764585708,Metal,Combination,CR6004_11_product_0,CR6004_11_product_three_quarter_view,Nerd-chic at its finest. Try this one on� We think you'll be surprised at its versatility.
CR6004_sun,68,Black,99,54,18,140,34.7,54.6,796764585715,Metal,Combination,CR6004_sun_01_product_0,CR6004_sun_01_product_three_quarter_view,Nerd-chic at its finest. Try this one on� We think you'll be surprised at its versatility.
CR6004_sun,68,Brown Wood,99,54,18,140,34.7,54.6,796764585722,Metal,Combination,CR6004_sun_02_product_0,CR6004_sun_02_product_three_quarter_view,Nerd-chic at its finest. Try this one on� We think you'll be surprised at its versatility.
CR6004_sun,68,Black Wood,99,54,18,140,34.7,54.6,796764585739,Metal,Combination,CR6004_sun_11_product_0,CR6004_sun_11_product_three_quarter_view,Nerd-chic at its finest. Try this one on� We think you'll be surprised at its versatility.
CR6005,86,Gunmetal,129,56,15,145,43.7,59.1,796764585272,Metal,Metal,CR6005_00_product_0,CR6005_00_product_three_quarter_view,No eyewear collection is complete without that perfect aviator. Think the flying legends in Top Gun.
CR6005,86,Gold,129,56,15,145,43.7,59.1,796764585265,Metal,Metal,CR6005_04_product_0,CR6005_04_product_three_quarter_view,No eyewear collection is complete without that perfect aviator. Think the flying legends in Top Gun.
CR6005,86,Black/Navy,129,56,15,145,43.7,59.1,796764585289,Metal,Metal,CR6005_11_product_0,CR6005_11_product_three_quarter_view,No eyewear collection is complete without that perfect aviator. Think the flying legends in Top Gun.
CR6006,31,Gunmetal,129,53,18,145,37,57.3,796764585241,Metal,Metal,CR6006_00_product_0,CR6006_00_product_three_quarter_view,"Crafted of lightweight metal, we've brought an understated classic to the 21st century."
CR6006,31,Black,129,53,18,145,37,57.3,796764585210,Metal,Metal,CR6006_01_product_0,CR6006_01_product_three_quarter_view,"Crafted of lightweight metal, we've brought an understated classic to the 21st century."
CR6006,31,Bronze,129,53,18,145,37,57.3,796764585234,Metal,Metal,CR6006_02_product_0,CR6006_02_product_three_quarter_view,"Crafted of lightweight metal, we've brought an understated classic to the 21st century."
CR6007,41,Black,99,55,17,145,45,60,796764585142,Plastic,Acetate,CR6007_01_product_0,CR6007_01_product_three_quarter_view,This number is a future classic - a true-statement maker.
CR6007,41,Tortoise Fade,99,55,17,145,45,60,796764585159,Plastic,Acetate,CR6007_02_product_0,CR6007_02_product_three_quarter_view,This number is a future classic - a true-statement maker.
CR6007,41,Blue,99,55,17,145,45,60,796764585166,Plastic,Acetate,CR6007_05_product_0,CR6007_05_product_three_quarter_view,This number is a future classic - a true-statement maker.
CR6008,24,Gold,129,51,20,145,44.7,53.7,796764585326,Metal,Metal,CR6008_04_product_0,CR6008_04_product_three_quarter_view,"Direct from the runway, go incognito with these round frames. "
CR6008,24,Burgundy,129,51,20,145,44.7,53.7,796764585340,Metal,Metal,CR6008_06_product_0,CR6008_06_product_three_quarter_view,"Direct from the runway, go incognito with these round frames. "
CR6008,24,Gunmetal,129,51,20,145,44.7,53.7,796764585333,Metal,Metal,CR6008_10_product_0,CR6008_10_product_three_quarter_view,"Direct from the runway, go incognito with these round frames. "
CR6008_sun,24,Gold,99,51,20,145,44.7,53.7,796764585357,Metal,Metal,CR6008_sun_04_product_0,CR6008_sun_04_product_three_quarter_view,"Direct from the runway, go incognito with these round, mirrored lenses. "
CR6008_sun,24,Burgundy,99,51,20,145,44.7,53.7,796764585364,Metal,Metal,CR6008_sun_06_product_0,CR6008_sun_06_product_three_quarter_view,"Direct from the runway, go incognito with these round, mirrored lenses. "
CR6008_sun,24,Gunmetal,99,51,20,145,44.7,53.7,796764586002,Metal,Metal,CR6008_sun_10_product_0,CR6008_sun_10_product_three_quarter_view,"Direct from the runway, go incognito with these round, mirrored lenses. "
CR6009,39,Black,129,50,21,140,42.4,53.3,796764585456,Plastic,Acetate,CR6009_01_product_0,CR6009_01_product_three_quarter_view,A round frame fit to add a dose of prep to your style.
CR6009,39,Tortoise,129,50,21,140,42.4,53.3,796764587627,Plastic,Acetate,CR6009_02_product_0,CR6009_02_product_three_quarter_view,A round frame fit to add a dose of prep to your style.
CR6009,39,Indigo,129,50,21,140,42.4,53.3,796764585463,Plastic,Acetate,CR6009_05_product_0,CR6009_05_product_three_quarter_view,A round frame fit to add a dose of prep to your style.
CR6009,39,Honey Tortoise ,129,50,21,140,42.4,53.3,796764585470,Plastic,Acetate,CR6009_22_product_0,CR6009_22_product_three_quarter_view,A round frame fit to add a dose of prep to your style.
CR6010,10,Gunmetal,99,62,13,140,49.1,66.9,796764585487,Metal,Metal,CR6010_00_product_0,CR6010_00_product_three_quarter_view,The aviator in its truest form.
CR6010,10,Gold,99,62,13,140,49.1,66.9,796764585494,Metal,Metal,CR6010_04_product_0,CR6010_04_product_three_quarter_view,The aviator in its truest form.
CR6010,10,Silver,99,62,13,140,49.1,66.9,796764585500,Metal,Metal,CR6010_10_product_0,CR6010_10_product_three_quarter_view,The aviator in its truest form.
CR6011,03,Crystal,99,51,21,135,45.9,55.8,796764585678,Plastic,Acetate,CR6011_00_product_0,CR6011_00_product_three_quarter_view,Round frames never looked so good thanks to the variety of unexpected colors.
CR6011,03,Black,99,51,21,135,45.9,55.8,796764585647,Plastic,Acetate,CR6011_01_product_0,CR6011_01_product_three_quarter_view,Round frames never looked so good thanks to the variety of unexpected colors.
CR6011,03,Indigo,99,51,21,135,45.9,55.8,796764585661,Plastic,Acetate,CR6011_05_product_0,CR6011_05_product_three_quarter_view,Round frames never looked so good thanks to the variety of unexpected colors.
CR6011,03,Honey Tortoise ,99,51,21,135,45.9,55.8,796764585654,Plastic,Acetate,CR6011_22_product_0,CR6011_22_product_three_quarter_view,Round frames never looked so good thanks to the variety of unexpected colors.
CR6012,06,Gunmetal,129,59,13,140,49.5,67.2,796764585197,Metal,Metal,CR6012_00_product_0,CR6012_00_product_three_quarter_view,The navigator that started it all - this is Mr. Powers' favorite look.
CR6012,06,Light Gunmetal,129,59,13,140,49.5,67.2,796764585203,Metal,Metal,CR6012_03_product_0,CR6012_03_product_three_quarter_view,The navigator that started it all - this is Mr. Powers' favorite look.
CR6012,06,Gold,129,59,13,140,49.5,67.2,796764585180,Metal,Metal,CR6012_04_product_0,CR6012_04_product_three_quarter_view,The navigator that started it all - this is Mr. Powers' favorite look.
